Ангарск г.;188-й кв-л., д. 4
Артем г.;Кирова ул., д. 20А
Хабаровск г.;Ленинградская ул., д. 28И
Владивосток г.;Русская ул., д. 46
Шелехов г.;6-й кв-л., д. 30А
Якутск г.;Пояркова/Октябрьская ул., у д. 45
Нововоронеж г.;Победы ул., д. 1А
Новошахтинск г.;Базарная ул., д. 26
Шахты г.;Шевченко ул., д. 96
Минеральные Воды г.;50 лет Октября/Бибика ул., 
Новочеркасск г.;Платовский пр-кт., д. 80
Таганрог г.;Гоголевский пер., д. 2/2
Тимашевск г.;Красная ул., угол ул. Братской
Северская ст-ца.;Комарова ул., д. 11
Славянск-на-Кубани г.;Красная ул., д. 2/8
Солнечный п.;Парковая ул., д. 3
Таганрог г.;Тургеневский пер., д. 43
Сургут;
фываывпыф;
фывпфыпы;
какой-то читабельный левый адрес;
Азов г.;Московская ул., д. 25
Батайск г.;Энгельса/Кирова ул., д. 213/16
Брюховецкая ст-ца.;Кирова ул., д. 170Д/4
